Country or Area,Year,Value,Unit
Mauritius,2012,15060.47825,million cubic metres
Mauritius,2011,16009.50795,million cubic metres
Mauritius,2010,17570.88245,million cubic metres
Mauritius,2009,2269.128418,million cubic metres
Mauritius,2008,8708.178417,million cubic metres
Mauritius,2007,10128.17708,million cubic metres
Mauritius,2006,7253.966328,million cubic metres
Mauritius,2005,15833.48779,million cubic metres
Mauritius,2004,637.6625987,million cubic metres
Mauritius,2003,5669.710258,million cubic metres
Mauritius,2002,1033.786271,million cubic metres
Mauritius,2001,10001.72007,million cubic metres
Mauritius,2000,17778.02048,million cubic metres
Mauritius,1999,4283.15434,million cubic metres
Mauritius,1998,4700.316865,million cubic metres
Mauritius,1997,14951.15887,million cubic metres
Mauritius,1996,4816.070563,million cubic metres
Mauritius,1995,6770.346637,million cubic metres
Mauritius,1990,14146.65335,million cubic metres
Netherlands,2013,85567.75925,million cubic metres
Netherlands,2012,46676.66033,million cubic metres
Netherlands,2011,14788.40895,million cubic metres
Netherlands,2010,150213.9269,million cubic metres
Netherlands,2009,146574.2496,million cubic metres
Netherlands,2008,99456.79559,million cubic metres
Netherlands,2007,143980.8869,million cubic metres
Netherlands,2006,39710.68127,million cubic metres
Netherlands,2005,122292.8381,million cubic metres
Netherlands,2004,91360.28826,million cubic metres
Netherlands,2003,4910.17178,million cubic metres
Netherlands,2002,42899.18113,million cubic metres
Netherlands,2001,91901.82087,million cubic metres
Netherlands,2000,151027.9715,million cubic metres
Netherlands,1999,95596.12867,million cubic metres
Netherlands,1998,126770.892,million cubic metres
Netherlands,1997,27214.15706,million cubic metres
Netherlands,1996,106798.2603,million cubic metres
Netherlands,1995,20387.39841,million cubic metres
Netherlands,1993,150908.8679,million cubic metres
Netherlands,1992,29618.75265,million cubic metres
Netherlands,1991,15061.15554,million cubic metres
Netherlands,1990,40616.76107,million cubic metres
